id;comments;date;hate
213;oue je voudrai bien flex il s’agirait de m’envoyer mon tel un jour j’ai commandé dimanche dernier...;2022-10-9;0
214;Yea;2022-10-9;0
215;Le mien est grand ouvert;2022-10-9;0
216;je les il les top ☺️😋;2022-10-9;0
217;yes;2022-10-9;0
218;Mais qui en a déjà vu un dans la rue ?;2022-10-9;0
219;This is perfect for TikTok! Now it's time to sell my soul for one...;2022-10-9;0
220;Flex;2022-10-9;0
221;I have that phone rn and I'm using that same phone rn;2022-10-9;0
222;Im getting this <3;2022-10-9;0
223;Yes better than Aplle and got the same phone;2022-10-9;0
224;Apple going to put this on their phone in 10 years then people will say ‘Samsung had this in the Middle Ages’;2022-10-9;0
225;i got that phone, love it;2022-10-9;0
226;can I get a free expensive tv pls;2022-10-9;0
227;flip phone;2022-10-9;0
228;Switched my 11 to the s21 fe best choice for now...;2022-10-9;1
229;I got that phone 😁;2022-10-9;0
230;Ayo;2022-10-9;0
231;That’s just a flip phone;2022-10-9;0
232;beat goes harder than apple's;2022-10-9;0
233;Cool but who wants a massive crease in the middle of there phone;2022-10-9;0
234;Hello;2022-10-9;0
235;When you make operating system friendlier I’ll switch 😂;2022-10-9;0
236;They’re really flimsy I’m on my 2nd and I will not be buying another;2022-10-9;0
237;Can anyone tell me what you can do with the back screen? Does it justshow the time and sometimes camera?;2022-10-9;0
238;hi;2022-10-9;0
239;should work with @auntyskates;2022-10-9;0
240;I show speed has a Fortnite skin;2022-10-9;0
241;No one will buy it till we can text Apple phones with ease;2022-10-9;0
242;give it then;2022-10-9;0
243;hello;2022-10-9;0
244;song name?;2022-10-9;0
245;watching this on a fold 4... hands down the best mobile I have ever had!;2022-10-9;0
246;If the phone actually performed as advertised it would be good;2022-10-9;0
247;samsung u have the best photo quality but i cant take u bc the security is a bit bad;2022-10-9;1
248;Modernized flip phone, love it❗❤️🔥;2022-10-9;0
249;lovely tiktok 🥰;2022-10-9;0
250;@lills❦ flipphone;2022-10-9;0
251;Happy birthday have a good one;2022-10-9;0
252;you can do the same thing with a book style case 😂;2022-10-9;1
253;about 2 million quid for this phone it's a joke it's just a phone;2022-10-9;0
254;how do u use a screen protector;2022-10-9;0
255;Just wait tell the battery blows up 😂;2022-10-9;0
256;so we going back in time now;2022-10-9;0
257;love it ❤;2022-10-9;0
258;Amazing;2022-10-9;0
259;yes;2022-10-9;0
260;just switch from Samsung to Oppo unfortunately newer flagship ranges not even got SD card slots (don't want to use cloud) and cameras were god awful;2022-10-9;0
261;I'm currently using this lol, best phone 👍;2022-10-9;0
262;@Lydia :) they’re now on tiktok 😔;2022-10-9;0
263;yess so true;2022-10-9;0
264;I love it its amazing xx;2022-10-9;0
265;where can I trade in my old Samsung s9 note?;2022-10-9;0
266;my phone wouldnt unfold;2022-10-9;0
267;atleast yall make different designs 🤩;2022-10-9;0
268;i went from samsung to apple now i want samsung;2022-10-9;0
269;I’m glad the camera works;2022-10-9;0
270;But the battery lasts for a short time they do not know how to make a more powerful battery 5000amh and works as if it had 3500amh;2022-10-9;0
271;I've had mine for a few weeks now and I love it 💕;2022-10-9;0
272;I love this phone but the cameras 😩;2022-10-9;0
273;What’s the accessibility settings like. It’s why I use apple but would like to know the comparison;2022-10-9;0
274;My phone;2022-10-9;0
275;going get it soon!;2022-10-9;0
276;i have a apple and Samsung iPad but Samsung is my fav BC it works better;2022-10-9;0
277;@courtneyjademac0 your phone 💀;2022-10-9;0
278;Two people I know had their phone the same amount of time (8 months) have both had to pay to have the screen too later repaired 😂😂😂;2022-10-9;0
279;@mia buy for me the purple one;2022-10-9;0
280;“Captured with Flexcam” “IMAGE SIMULATED” LOLOLOL;2022-10-9;0
281;well Samsung, thanks for breaking my flip4 so easily;2022-10-9;0
282;@antonlikesmen omg its you;2022-10-9;0
283;I CANT GET OFF THE AD HELP;2022-10-9;0
284;Everyone mentions the crease but I don't know anyone that has bought one;2022-10-9;0
285;Wait could it not do this already?;2022-10-9;0
286;I'm saving up for one, hopefully treat myself for my birthday/ Christmas 🤞;2022-10-9;0
287;Hi;2022-10-9;0
288;find a massive crease in the middle of it after not even a year. absolutley love my fold till this happened;2022-10-9;0
289;I'm literally using a flip 3 right now and it is just as good as you think if not better! so many people love it when I use it in public. Worth it!;2022-10-9;0
290;hp sulton;2022-10-14;0
291;multiple angles of photos huh? How about you just (and dont lose your mind here) just tilt the phone 🤯;2022-10-11;0
292;Apple just does everything better tho…;2022-10-9;0
293;My chins could never 😅;2022-10-9;0
294;"""Lets do a silly one"" 💀💀";2022-10-9;0
295;samsung after somehow making a phone that breaks easier and faster than apple products: 🕺💃;2022-10-8;0
296;SAMSUNG IM THINK OF CHANGING TO THE GALAXY Z FLIP 4 😮‍💨😮‍💨;2022-10-4;0
297;HP impian [drool][drool][drool][drool][drool][drool][drool][drool] samsung z fLex;2022-10-16;0
